date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,bde_retro_flag,csw_retro_flag,sadf_retro_flag,smt_retro_flag,family_count_retro,consensus_retro,bde_online_flag,csw_online_flag,sadf_online_flag,smt_online_flag,family_count_online,consensus_online
2025-10-16,36.794,3.6053347884035913,-1.2468965098587077,-0.6552225419839934,-1.2744643504892854,-1.3614105334746305,-1.3015845083881281,1.0717009628196863,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-17,35.462,3.568461700634797,-1.455001233172922,-0.5556501881290552,-1.062287315378121,-1.1211864396778872,-1.085008382981435,1.1930191836101542,0,0,0,0,0,0,0,0,1,0,1,0
2025-10-18,36.862,3.607181210129431,-1.6168794208482289,-1.0204027788664305,-1.2577163185903302,-1.316274175391724,-1.2804224810498153,1.2318228784048522,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-19,37.398,3.6216172270547684,-1.7567848041026242,-1.1197512449193738,-1.286657391592978,-1.3514307463183686,-1.3180699156376448,1.2486616475067902,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-20,37.939,3.6359796067530743,-1.8775294420021573,-1.200947172059532,-1.335157519003536,-1.405538212820503,-1.3689069533524296,1.2477696312974498,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-21,35.346,3.565185231767605,-2.0367277988318486,-0.646280190362359,-0.8581135823862245,-1.0911995342341578,-1.0271047765806554,1.2851789283289534,0,0,0,0,0,0,0,0,1,0,1,0
2025-10-22,36.233,3.5899703057847225,-2.1678460307226217,-1.0960720394751187,-0.9757949286496025,-1.190263744123968,-1.0951242747406442,1.3123334476534578,0,0,0,0,0,0,0,0,1,1,2,1
2025-10-23,40.198,3.69381724314356,-2.2259231759093763,0.030311709776872142,-1.3790505677065088,-1.5767171693811741,-1.4605490480440335,1.2843607365504692,0,1,0,0,1,0,0,1,0,0,1,0
2025-10-24,39.288,3.6709191287369434,-2.2949256802175397,-1.0986520358298768,-1.3256456915736914,-1.5025684399233568,-1.3688670949966821,1.2697878386120611,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-25,44.213,3.789018863486595,-2.288532009788859,0.29327710897207204,-1.5173674378326028,-1.6746279613568724,-1.590133216311798,1.1721101117755623,0,1,0,0,1,0,0,1,0,0,1,0
2025-10-26,47.295,3.856404581665134,-2.2411861029207008,0.3984708568932196,-1.4981549116999644,-1.6501484718539754,-1.5886084080117384,1.0425526035794843,0,1,0,0,1,0,0,1,0,0,1,0
2025-10-27,46.52,3.839882327650464,-2.2053635130095075,-0.18502534998472608,-1.4942356293120982,-1.658717288580105,-1.576351208326411,0.9502833345364798,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-28,47.657,3.8640295238228672,-2.155881310705958,-0.2130950920569714,-1.4855223040503396,-1.6506387922701404,-1.5443353867057787,0.8610447404326299,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-29,47.952,3.8702005105743074,-2.1041974477199106,-0.34580724971063237,-1.4857429901242503,-1.6251517649359122,-1.5167615424732022,0.7853252090764941,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-30,45.389,3.815269784941258,-2.087788205293099,-0.8783269604350477,-1.5189742467511553,-1.606907753737744,-1.5439849158229935,0.743530958169493,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-31,43.685,3.777004793750058,-2.0952524270636332,-0.9323622297895808,-1.5198607301731386,-1.5689055566020123,-1.5352153502933024,0.7195443789380422,0,0,0,0,0,0,0,0,0,0,0,0
